millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
9400,2,-0.022732,0.27996,9.935599,-0.003512,0.047342,-0.033292,4.92546,39.082138,-0.073078
9446,2,0.668196,0.184846,10.0349,0.197462,0.004887,-0.731511,5.451622,39.637531,0.043847
9492,2,-0.398405,-0.265005,9.996017,0.043524,0.047495,-1.033126,3.712365,42.034492,1.037708
9539,2,0.613759,0.055633,9.989438,0.003665,0.03711,0.049327,1.578486,42.487575,1.154633
9585,2,0.267398,0.153141,10.021739,-0.131947,0.047953,1.495245,2.39696,37.942123,0.263081
9631,2,-0.045464,-0.069392,10.307682,-0.039095,0.053909,0.064752,4.633148,39.301376,0.686934
9677,2,0.683749,0.083151,10.1019,0.124922,0.045204,-0.251066,5.130079,39.359836,0.847705
9723,2,-0.35354,-0.947558,9.612567,0.419817,-0.163712,-0.531911,5.232388,39.462146,0.59924
9769,2,0.082552,-0.499502,10.054043,0.024282,0.032529,-0.171195,2.9962,41.771411,0.526162
9815,2,-0.007178,0.319442,10.122838,-0.002596,0.035277,-0.165697,2.426191,42.253726,0.716165
9861,2,-0.317049,0.21655,10.050454,-0.005803,0.037721,0.038637,1.534639,42.356033,0.584624
9906,2,-1.737787,-1.152144,11.246865,-0.539394,0.223424,0.982882,4.267758,39.637531,0.146156
9952,2,-0.398405,0.467199,10.023535,0.020006,0.046426,-0.01405,4.720842,39.330604,1.037708
9998,2,-0.801596,0.829711,9.810574,0.08262,0.034361,-0.29291,4.764689,38.819061,0.496931
10044,2,0.147757,0.136391,10.007981,0.067653,0.038943,-0.865901,3.82929,41.318328,1.110786
10090,2,-0.145364,0.299103,10.090533,-0.01237,0.036652,0.008247,2.090032,42.414497,0.394621
10137,2,-0.488136,0.315254,10.459029,-0.067501,0.057116,0.968985,1.651564,42.356033,0.789243
10183,2,-0.175872,0.245863,10.068401,-0.008858,0.059101,0.106138,5.349313,39.447532,0.701549
10229,2,-0.244666,0.314058,9.976875,-0.025962,0.060323,-0.078802,4.92546,39.491374,0.350775
10275,2,-0.273978,0.254237,9.99841,0.094073,0.02642,-0.150578,4.969307,40.061386,0.526162
10321,2,0.192024,0.312263,10.010972,0.038637,0.037568,-1.050077,2.966969,41.990646,0.672318
10366,2,0.156132,0.079561,10.182059,0.017868,0.034056,0.01237,2.133879,42.867584,0.380006
10412,2,-0.848256,0.168694,9.772289,-0.045051,0.062919,1.432937,3.449284,41.230632,0.029231
10458,2,-0.190828,0.492921,9.863815,0.017104,0.040012,-0.015882,4.852383,39.856765,-0.102309
10504,2,0.381655,0.183649,10.324433,0.049175,0.053451,-0.273668,5.100848,39.579071,0.292312
10550,2,-0.171685,-0.431904,9.996616,0.262977,-0.041539,-0.655153,5.437007,39.856765,0.116925
10596,2,0.165105,0.175872,9.857831,0.007789,0.024893,-0.73426,2.718503,42.80912,1.271558
10641,2,-0.367896,0.391227,10.295718,-0.013134,0.034208,0.207847,1.79772,42.882198,1.651564
10687,2,-0.917049,-0.697508,9.723236,-0.146455,0.098197,1.376279,3.624671,40.33908,1.023093
10734,2,-0.15015,0.296112,9.930215,0.030085,0.039095,-0.019853,4.750073,39.082138,1.227711
10780,2,-0.972084,-0.543171,10.077373,-0.011454,0.175166,-0.64095,4.969307,39.593685,1.388483
10826,2,0.276969,0.156132,10.275379,0.119271,0.052993,-1.37353,4.063139,40.93832,1.403099
10872,2,0.269791,0.045464,10.091731,-0.043066,0.020464,0.039248,2.294651,42.823734,1.841567
10918,2,0.455235,0.779462,9.796216,-0.127824,0.068111,1.81656,3.273896,40.602161,1.520023
10964,2,-0.116052,0.257228,10.016955,0.018784,0.037568,-0.012828,4.662379,39.403682,0.555393
11010,2,0.031705,0.988834,9.947563,0.080176,0.032987,-0.726471,3.566209,40.646011,1.008477
11056,2,0.520439,1.11027,10.152149,-0.038637,0.062461,0.342085,4.486992,40.295234,0.628471
11102,2,-0.252443,0.477966,9.439686,-0.058948,0.040317,-0.008552,5.188541,39.666763,0.511546
11148,2,-0.135194,0.334995,10.04507,0.028711,0.036805,-0.018784,5.130079,39.754455,0.935399
11194,2,-0.165105,0.309871,10.046266,0.023213,0.038332,-0.017257,4.808536,40.266002,0.672318
11239,2,-0.130409,0.322433,10.01516,0.025504,0.038026,-0.021686,4.764689,39.988307,1.856182
11285,2,-0.151346,0.321835,10.010374,0.025198,0.037263,-0.020159,4.720842,39.47676,1.373867
11332,2,-0.130409,0.346361,10.012767,0.038943,0.041081,-0.019242,4.837767,39.403682,1.33002
11378,2,-0.163908,0.306281,10.020544,0.030849,0.03879,-0.019853,4.706226,39.593685,1.578486
11424,2,-0.109472,0.328415,10.016955,0.029169,0.036957,-0.017257,4.896229,39.871383,1.140017
11470,2,-0.174676,0.323629,10.006785,0.02642,0.040164,-0.018784,4.676995,39.885997,0.993861
11516,2,-0.142373,0.318844,10.031311,0.049633,0.038943,-0.018937,5.013154,39.915229,1.286174
11562,2,-0.196211,0.386441,9.87159,0.024282,0.035888,-0.014203,4.808536,39.47676,2.206957
11608,2,-0.136989,0.340977,9.977473,0.033139,0.042455,-0.020311,5.02777,39.505992,1.92926
11654,2,-0.144766,0.285942,10.036098,0.028253,0.040317,-0.018937,4.413914,40.222156,1.169249
11700,2,-0.125025,0.310469,10.024731,0.024893,0.035583,-0.020311,5.320082,39.666763,1.315405
11745,2,-0.293719,0.296112,10.0014,0.024587,0.037568,-0.018479,4.79392,39.900611,1.388483
11791,2,-0.134596,0.295514,10.00858,0.027031,0.036346,-0.019242,4.896229,40.251388,2.090032
11837,2,-0.140578,0.303888,9.997213,0.023518,0.037721,-0.016799,4.92546,39.929847,1.476176
11884,2,-0.142373,0.275175,9.997812,0.023671,0.03711,-0.018173,5.02777,39.491374,0.979246
11930,2,-0.147159,0.291326,10.030713,0.021838,0.043371,-0.019548,4.633148,39.608303,1.695411
11976,2,-0.113659,0.293121,10.029517,0.021075,0.038179,-0.019548,5.115463,39.783687,1.33002
12022,2,-0.141775,0.156132,10.004392,0.023976,0.037263,-0.019853,4.750073,40.002925,0.59924
12068,2,-0.120838,0.282951,10.036098,0.028711,0.03879,-0.020922,4.457761,39.900611,0.482315
12114,2,-0.138186,0.302692,10.012168,0.025198,0.038485,-0.022297,4.720842,39.666763,1.505408
12160,2,-0.14656,0.278764,10.016356,0.024893,0.042302,-0.021075,5.057001,39.418296,1.096171
